,titulo,preco,p_l,n_acoes,patrimonio,p_vp,ebit,roe,roic,liquidez
822,BAZA3,"36,30","5,86",29.646.000,2.041.970.000,"0,53",-,"9,0%",-,-
823,BALM4,"11,50","46,06",9.800.000,102.201.000,"1,10","7,0%","2,4%","6,0%","2,02"
824,BALM3,"12,00","48,06",9.800.000,102.201.000,"1,15","7,0%","2,4%","6,0%","2,02"
825,BAHI5,"65,00","-21,41",2.219.360,53.301.000,"2,71","-19,5%","-12,6%","-8,0%","2,34"
826,BAHI3,"104,00","-34,26",2.219.360,53.301.000,"4,33","-19,5%","-12,6%","-8,0%","2,34"
827,BAHI4,"86,00","-28,33",2.219.360,53.301.000,"3,58","-19,5%","-12,6%","-8,0%","2,34"
828,B3SA3,"49,80","40,00",2.059.140.000,25.361.800.000,"4,04","50,9%","10,1%","9,8%","1,26"
829,BAHI11,"43,70","-14,40",2.219.360,53.301.000,"1,82","-19,5%","-12,6%","-8,0%","2,34"
830,AZEV4,"2,03","-0,08",5.400.000,-211.781.000,"-0,05","-115,1%","63,0%","-192,5%","0,13"
831,AZEV3,"5,47","-0,22",5.400.000,-211.781.000,"-0,14","-115,1%","63,0%","-192,5%","0,13"
832,AZUL4,"50,10","102,20",341.746.000,-644.791.000,"-26,55","14,1%","-26,0%","9,5%","0,67"
833,ATOM3,"1,49","10,72",20.899.000,4.270.000,"7,29","37,1%","68,0%","74,2%","102,26"
834,AVIL3,"0,93","12,97",4.944.310.000,1.106.590.000,"4,16","23,4%","32,0%","41,0%","5,14"
835,AUTM3,"19,70","20,00",125.769.000,1.304.250.000,"1,90","10,5%","9,5%","11,9%","1,48"
836,ASSM4,"6,10","0,29",237.000,-9.943.000,"-0,15","-2.084,4%","-50,7%","35,4%","0,21"
837,ASTA4,"25,83","-30,79",20.000.000,515.672.000,"1,00","3,3%","-3,3%","2,5%","1,71"
838,ASSM3,"7,12","0,33",237.000,-9.943.000,"-0,17","-2.084,4%","-50,7%","35,4%","0,21"
839,ARZZ3,"60,67","37,87",90.954.000,710.655.000,"7,76","10,6%","20,5%","17,8%","1,97"
840,ARTR3,"10,01","-63,02",574.879.000,6.393.440.000,"0,90","10,4%","-1,4%","2,1%","0,54"
841,ARTE4,"6,81","-0,03",158.000,-33.570.000,"-0,03",-,"102,9%",-,-
842,ARTE3,"7,70","-0,04",158.000,-33.570.000,"-0,04",-,"102,9%",-,-
843,ARPS4,"0,00","0,00",0,-12.690.000,"0,00","-4,9%","20,3%","-6,6%","0,91"
844,ARPS3,"0,30","0,00",0,-12.690.000,"0,00","-4,9%","20,3%","-6,6%","0,91"
845,ARLA4,"3,38","-2,21",4.460.000,-24.319.000,"-0,62","-31,7%","28,0%","-13,7%","0,10"
846,ARLA3,"2,47","-1,62",4.460.000,-24.319.000,"-0,45","-31,7%","28,0%","-13,7%","0,10"
847,ARCZ6,"3,63","-1,86",1.032.550.000,1.934.210.000,"1,94","11,5%","-104,0%","4,0%","2,86"
848,ARCZ3,"3,66","-1,88",1.032.550.000,1.934.210.000,"1,95","11,5%","-104,0%","4,0%","2,86"
849,APTI4,"3.500,00","-10,69",19.000,221.278.000,"0,30","-12,5%","-2,8%","-1,7%","1,09"
850,ARCE3,"54,00","14,01",650.993.000,13.495.400.000,"2,60","27,7%","18,6%","22,0%","1,97"
851,APER3,"23,50","-1,31",7.678.000,97.083.000,"1,86","-161,3%","-141,9%","-97,9%","1,02"
852,ANIM3,"21,95","2.612,15",80.209.000,683.761.000,"2,57","8,6%","0,1%","4,9%","0,79"
853,AMPI3,"55,00","12,41",12.000.000.000,240.799.000,"2,74","25,2%","22,1%","21,2%","1,12"
854,AMIL3,"32,20","-73,28",366.746.000,1.532.980.000,"7,70","0,8%","-10,5%","2,2%","0,75"
855,AMBV4,"86,80","26,59",3.132.290.000,31.105.700.000,"8,74","39,1%","32,9%","32,4%","1,18"
856,AMAR3,"10,09","37,26",204.086.000,840.223.000,"2,45","8,3%","6,6%","8,2%","1,31"
857,AMBV3,"87,00","26,65",3.132.290.000,31.105.700.000,"8,76","39,1%","32,9%","32,4%","1,18"
858,ALUP4,"7,08","7,24",879.111.000,5.064.230.000,"1,23","55,3%","17,0%","16,3%","2,79"
859,ALUP11,"23,98","8,18",879.111.000,5.064.230.000,"1,39","55,3%","17,0%","16,3%","2,79"
860,ALUP3,"9,97","10,20",879.111.000,5.064.230.000,"1,73","55,3%","17,0%","16,3%","2,79"
861,ALSO3,"42,35","600,95",238.080.000,5.206.140.000,"1,94","65,2%","0,3%","3,4%","4,07"
862,ALSC3,"27,75","38,57",205.198.000,2.593.960.000,"2,20","55,5%","5,7%","7,0%","5,39"
863,ALPA4,"29,31","75,16",588.062.000,2.535.080.000,"6,80","11,6%","9,0%","14,0%","2,18"
864,ALPA3,"25,10","64,36",588.062.000,2.535.080.000,"5,82","11,6%","9,0%","14,0%","2,18"
865,ALLL4,"3,32","7,28",1.559.020.000,8.142.050.000,"0,64","28,7%","8,7%","6,8%","1,34"
866,ALLL11,"16,50","7,23",1.559.020.000,8.142.050.000,"0,63","28,7%","8,7%","6,8%","1,34"
867,AHEB6,"80,00","-13,21",7.522.000,16.266.000,"37,00","-42,6%","-280,1%","-20,3%","0,49"
868,ALBA3,"2,15","0,00",0,354.860.000,"0,00","9,5%","19,8%","20,4%","1,83"
869,ALLL3,"3,97","8,70",1.559.020.000,8.142.050.000,"0,76","28,7%","8,7%","6,8%","1,34"
870,AHEB3,"31,00","-5,12",7.522.000,16.266.000,"14,34","-42,6%","-280,1%","-20,3%","0,49"
871,AHEB5,"33,00","-5,45",7.522.000,16.266.000,"15,26","-42,6%","-280,1%","-20,3%","0,49"
872,AGIN3,"5,29","8,46",239.297.000,1.028.210.000,"1,23","16,6%","14,6%","5,6%","2,72"
873,AGRO3,"16,90","23,77",56.888.900,938.852.000,"1,02","19,5%","4,3%","8,2%","1,81"
874,AGEN33,"0,16","0,39",242.706.000,-1.112.630.000,"-0,03",-,"-8,9%","87,7%","0,09"
875,AGEI3,"7,80","0,00",300.000.000,1.878.210.000,"1,25",-,-,-,"2,45"
876,ACES4,"94,73","8,74",74.320.000,3.105.800.000,"2,27","23,5%","25,9%","26,9%","2,05"
