,titulo,preco,p_l,n_acoes,patrimonio,p_vp,ebit,roe,roic,liquidez
466,HAPV3,"54,34","46,14",742.986.000,6.708.230.000,"6,02","19,8%","13,0%","10,5%","1,86"
467,HETA4,"6,05","0,71",510.000,-383.060.000,"-0,01","66,4%","-1,1%","7,5%","0,02"
468,HAGA4,"1,55","10,23",11.900.000,-81.209.100,"-0,23","-12,3%","-2,2%","-14,1%","1,90"
469,HAGA3,"3,43","22,64",11.900.000,-81.209.100,"-0,50","-12,3%","-2,2%","-14,1%","1,90"
470,GVTT3,"57,70","57,38",137.246.000,2.150.790.000,"3,68","16,6%","6,4%","10,3%","1,66"
471,GUAR4,"151,00","64,75",499.200.000,5.022.210.000,"15,01","7,5%","23,2%","5,6%","1,87"
472,GSHP3,"0,85","-0,63",69.435.700,-46.424.000,"-1,27","38,5%","200,4%","4,7%","1,83"
473,GUAR3,"19,61","8,41",499.200.000,5.022.210.000,"1,95","7,5%","23,2%","5,6%","1,87"
474,GRNL4,"470,00","11,09",212.890.000,93.104.000,"1,07","-11,2%","9,7%","-1,7%","4,35"
475,GRND3,"9,90","16,66",902.160.000,3.584.890.000,"2,49","15,7%","15,0%","15,9%","10,77"
476,GPIV33,"7,02","25,76",109.746.000,1.345.380.000,"0,57","70,3%","2,2%","6,6%","11,58"
477,GPCP3,"33,01","7,58",6.268.000,179.091.000,"1,16","2,9%","15,2%","2,8%","1,23"
478,GOLL4,"34,19","364,16",355.502.000,-8.137.020.000,"-1,49","9,8%","-0,4%","11,6%","0,47"
479,GOAU4,"7,18","15,37",1.087.240.000,10.143.400.000,"0,77","8,2%","5,0%","7,3%","2,13"
480,GLOB4,"30,49","-46,16",1.298.860.000,1.474.000.000,"26,87","4,5%","-58,2%","7,7%","0,73"
481,GOAU3,"6,44","13,79",1.087.240.000,10.143.400.000,"0,69","8,2%","5,0%","7,3%","2,13"
482,GGBR3,"12,79","14,79",1.719.660.000,27.282.400.000,"0,81","8,2%","5,5%","7,3%","2,13"
483,GNDI3,"57,54","96,60",538.693.000,2.665.060.000,"11,63","10,7%","12,0%","10,9%","1,13"
484,GFSA3,"6,78","-2,27",120.000.000,780.159.000,"1,04","0,3%","-45,9%","0,1%","1,45"
485,GETI4,"14,46","13,20",381.253.000,1.601.130.000,"3,44","27,4%","26,1%","22,7%","0,71"
486,GGBR4,"15,44","17,85",1.719.660.000,27.282.400.000,"0,97","8,2%","5,5%","7,3%","2,13"
487,GETI3,"14,45","13,19",381.253.000,1.601.130.000,"3,44","27,4%","26,1%","22,7%","0,71"
488,GEPA3,"39,81","10,85",94.433.000,1.853.850.000,"2,03","41,7%","18,7%","23,0%","0,89"
489,GEPA4,"43,90","11,96",94.433.000,1.853.850.000,"2,24","41,7%","18,7%","23,0%","0,89"
490,GBIO33,"8,80","21,72",106.622.000,760.840.000,"1,23","17,1%","5,7%","12,8%","1,79"
491,GAZO3,"3,40","0,45",1.457.000,-102.667.000,"-0,05","-164,0%","-10,6%","25,1%","0,35"
492,GAZO4,"2,32","0,31",1.457.000,-102.667.000,"-0,03","-164,0%","-10,6%","25,1%","0,35"
493,GALO4,"0,25","0,00",0,-60.607.000,"0,00","14,0%","7,6%","39,4%","0,00"
494,GAFP4,"0,05","-0,02",9.882.000,-80.712.500,"-0,01","-77,6%","38,8%","-3,2%","0,51"
495,GALO3,"0,00","0,00",0,-60.607.000,"0,00","14,0%","7,6%","39,4%","0,00"
496,GAFP3,"0,12","-0,04",9.882.000,-80.712.500,"-0,01","-77,6%","38,8%","-3,2%","0,51"
497,FTRX4,"0,11","-0,13",23.827.000,-154.535.000,"-0,02","-106,2%","13,5%","-12,0%","0,06"
498,FTRX3,"0,13","-0,15",23.827.000,-154.535.000,"-0,02","-106,2%","13,5%","-12,0%","0,06"
499,FRTA3,"6,95","4,16",2.001.110,-68.253.000,"-0,20","-8,4%","-4,9%","-2,2%","0,04"
500,FRIO3,"66,00","30,34",4.107.000,49.651.000,"5,46","4,0%","18,0%","6,8%","1,06"
501,FRAS4,"5,79","21,35",217.566.000,784.832.000,"1,61","6,8%","7,5%","7,0%","2,15"
502,FRAS3,"4,72","17,41",217.566.000,784.832.000,"1,31","6,8%","7,5%","7,0%","2,15"
503,FLRY3,"27,00","27,20",316.744.000,1.737.100.000,"4,92","18,8%","18,1%","12,9%","1,54"
504,FLCL5,"12,50","145,87",450.713.000.000,72.920.000,"77,26","17,4%","53,0%","22,9%","1,23"
505,FLCL6,"9,91","115,65",450.713.000.000,72.920.000,"61,25","17,4%","53,0%","22,9%","1,23"
506,FLCL3,"11,50","134,20",450.713.000.000,72.920.000,"71,08","17,4%","53,0%","22,9%","1,23"
507,FIGE3,"43,00","9,72",2.364.000,226.080.000,"0,45","66,6%","4,6%","1,0%","13,24"
508,FIGE4,"38,01","8,59",2.364.000,226.080.000,"0,40","66,6%","4,6%","1,0%","13,24"
509,FHER3,"2,31","-0,21",53.857.000,-868.315.000,"-0,14","-10,8%","67,3%","-26,9%","0,34"
510,FIBR3,"66,30","12,03",553.734.000,14.149.000.000,"2,59","39,2%","21,6%","23,0%","1,46"
511,FGUI4,"0,38","-0,39",39.772.700.000,-222.024.000,"-0,07","-27,7%","17,3%","-60,7%","0,04"
512,FGUI3,"12,00","-12,41",39.772.700.000,-222.024.000,"-2,15","-27,7%","17,3%","-60,7%","0,04"
513,FFTL4,"25,06","53,34",566.033.000,6.274.030.000,"2,26","16,3%","4,2%","8,9%","1,37"
514,FESA4,"18,20","6,64",88.320.000,1.858.840.000,"0,86","11,4%","13,0%","5,9%","3,01"
515,FESA3,"28,00","10,21",88.320.000,1.858.840.000,"1,33","11,4%","13,0%","5,9%","3,01"
516,FCAP4,"0,70","0,58",19.446.000,107.134.000,"0,13",-,"21,8%",-,-
517,FBRA4,"34,58","-39,57",10.264.000,213.406.000,"1,66","6,2%","-4,2%","11,9%","1,11"
518,FFTL3,"25,00","53,22",566.033.000,6.274.030.000,"2,26","16,3%","4,2%","8,9%","1,37"
519,FBMC4,"1,96","-0,09",727.000,-63.552.000,"-0,02","-135,6%","24,2%","-64,7%","0,31"
520,FCAP3,"0,62","0,52",19.446.000,107.134.000,"0,11",-,"21,8%",-,-
521,FBMC3,"80,00","-3,78",727.000,-63.552.000,"-0,92","-135,6%","24,2%","-64,7%","0,31"
522,EZTC3,"44,03","46,06",227.000.000,3.721.170.000,"2,69","13,6%","5,8%","3,2%","9,32"
523,EVEN3,"13,25","-780,47",217.000.000,1.668.040.000,"1,72","5,5%","-0,2%","2,5%","3,42"
524,EUCA3,"6,27","10,93",92.619.000,1.288.300.000,"0,45","10,4%","4,1%","7,0%","1,00"
525,EUCA4,"6,18","10,77",92.619.000,1.288.300.000,"0,44","10,4%","4,1%","7,0%","1,00"
526,ETER4,"9,85","-1,98",31.774.000,-42.777.000,"-7,32","-11,7%","370,4%","-13,1%","1,24"
527,ETER3,"2,66","-0,53",31.774.000,-42.777.000,"-1,98","-11,7%","370,4%","-13,1%","1,24"
528,ESTR3,"20,00","-0,41",808.000,-462.674.000,"-0,03","-1,2%","8,5%","-0,8%","0,20"
529,ESTR4,"28,85","-0,60",808.000,-462.674.000,"-0,05","-1,2%","8,5%","-0,8%","0,20"
530,ESTC4,"0,00","0,00",309.089.000,3.192.040.000,"0,00","22,6%","18,9%","17,1%","2,44"
531,ESTC11,"23,50","4,01",309.089.000,3.192.040.000,"0,76","22,6%","18,9%","17,1%","2,44"
532,ESCE3,"172,00","3,77",5.876.000,1.065.050.000,"0,95","14,2%","25,2%","12,1%","1,08"
533,ENMT3,"30,98","12,44",212.911.000,2.044.870.000,"3,23","17,2%","25,9%","11,9%","1,19"
534,ENMT4,"30,99","12,45",212.911.000,2.044.870.000,"3,23","17,2%","25,9%","11,9%","1,19"
535,EQTL3,"104,41","13,29",202.037.000,6.635.790.000,"3,18","23,1%","23,9%","13,8%","1,69"
536,ENGI3,"11,79","27,05",1.814.560.000,5.488.090.000,"3,90","10,6%","14,4%","5,9%","1,52"
537,ENGI4,"9,23","21,18",1.814.560.000,5.488.090.000,"3,05","10,6%","14,4%","5,9%","1,52"
538,ENGI11,"48,63","22,32",1.814.560.000,5.488.090.000,"3,22","10,6%","14,4%","5,9%","1,52"
539,ENER6,"12,00","0,00",647.000,849.627.000,"0,00","18,5%","33,8%","17,1%","1,54"
540,ENEV3,"35,54","15,90",315.323.000,6.533.980.000,"1,72","27,5%","10,8%","6,9%","1,98"
541,ENER5,"6,00","0,00",647.000,849.627.000,"0,00","18,5%","33,8%","17,1%","1,54"
542,ENER3,"10,50","0,00",647.000,849.627.000,"0,00","18,5%","33,8%","17,1%","1,54"
543,ENBR3,"19,15","8,53",606.850.000,9.280.790.000,"1,25","15,1%","14,7%","9,9%","1,54"
544,ENAT3,"13,25","14,76",265.807.000,2.795.640.000,"1,26","24,9%","8,5%","9,0%","3,87"
545,EMAE4,"26,20","8,57",36.947.000,918.883.000,"1,05","5,0%","12,3%","2,1%","4,42"
546,ELUM4,"47,90","14,79",18.433.000,443.231.000,"1,99","6,4%","13,5%","9,4%","2,02"
547,EMBR3,"17,29","-24,28",740.465.000,15.429.000.000,"0,83","3,8%","-3,4%","1,2%","1,35"
548,ELUM3,"36,00","11,12",18.433.000,443.231.000,"1,50","6,4%","13,5%","9,4%","2,02"
549,ELPL5,"30,50","15,72",200.515.000,3.445.110.000,"1,78","9,9%","11,3%","6,6%","1,07"
550,ELPL6,"30,20","15,56",200.515.000,3.445.110.000,"1,76","9,9%","11,3%","6,6%","1,07"
551,ELPL4,"15,98","8,24",200.515.000,3.445.110.000,"0,93","9,9%","11,3%","6,6%","1,07"
552,ELPL3,"49,20","25,36",200.515.000,3.445.110.000,"2,86","9,9%","11,3%","6,6%","1,07"
553,ELEV3,"24,30","312,39",64.830.000,489.356.000,"3,22","1,8%","1,0%","3,0%","1,47"
554,ELET6,"37,23","2,56",1.352.630.000,63.049.800.000,"0,80","92,4%","31,2%","8,9%","1,56"
555,ELET5,"48,01","3,31",1.352.630.000,63.049.800.000,"1,03","92,4%","31,2%","8,9%","1,56"
556,ELET3,"35,80","2,46",1.352.630.000,63.049.800.000,"0,77","92,4%","31,2%","8,9%","1,56"
557,ELEK4,"16,13","9,72",31.485.000,233.503.000,"2,17","2,3%","22,4%","5,8%","2,17"
558,ELEK3,"19,69","11,87",31.485.000,233.503.000,"2,65","2,3%","22,4%","5,8%","2,17"
559,ELCA4,"20,20","62,13",2.057.870.000,3.532.700.000,"11,77","14,5%","18,9%","9,2%","1,81"
560,ELCA3,"24,70","75,97",2.057.870.000,3.532.700.000,"14,39","14,5%","18,9%","9,2%","1,81"
